id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Margaret;Gutkowski;Aron.Wisozk@gmail.com;nor yippee schedule;2025-05-26T09:01:02;18781;30087
2;Walton;White;May_Rolfson@yahoo.com;furthermore;2025-05-26T02:40:31;22173;4208
3;Ruby;Rempel;Maurice_Ankunding25@gmail.com;gah stiff portly;2025-05-26T11:40:13;6759;19355
4;Ervin;Shanahan;Aylin.Stark@yahoo.com;rebuff;2025-05-26T16:30:02;11640;5310
5;Casandra;Quitzon;Kelton_Gottlieb55@gmail.com;provision when;2025-05-26T14:10:12;2950;23488
6;Charlotte;Nikolaus;Lina.Crist31@gmail.com;eek against beside;2025-05-25T19:46:46;15808;25133
7;Gardner;Bayer;Jakayla_Bailey74@hotmail.com;overvalue;2025-05-25T20:18:24;5336;31775
8;Orville;Wyman;Sheldon98@yahoo.com;via iterate after;2025-05-25T19:44:38;5714;1380
9;Nakia;Gutkowski;Mariano.Farrell18@yahoo.com;hunger;2025-05-26T05:26:06;6327;10251
10;Juston;Kilback;Minerva0@yahoo.com;per daily;2025-05-26T16:35:59;25397;16546
